,Empresa,Breve descrição / o que faz,Vertical sugerido,Driver sugerido,Justificativa,
,beenergy,"A Beenergy é uma startup que oferece uma plataforma SaaS (Software as a Service) para gestão e redução de custos com energia elétrica em empresas, utilizando dados de consumo e faturas para simplificar processos, automatizar análises e propor soluções como a migração para o mercado livre e a geração distribuída. A empresa foi fundada em 2016 com o objetivo de ajudar empresas a reduzir custos, organizar a gestão de energia e minimizar o impacto ambiental, por meio de sua tecnologia e metodologia. ",Imóvel Inteligente,Gestão,"Plataforma SaaS para gestão de custos e migração energética, voltada à otimização e controle corporativo do consumo.",
,SolarView,"A startup SolarView é uma empresa de tecnologia especializada em soluções de gestão e monitoramento para o mercado de energia solar fotovoltaica no Brasil. Ela oferece uma plataforma completa, que inclui um software de gestão (SolarView Pro) para o monitoramento de usinas e um e-commerce (SolarView E-commerce) para a venda de equipamentos como dataloggers e SmartMeters. A SolarView foca em otimizar o pós-venda dos integradores de energia solar, fornecendo ferramentas para a gestão de informações de geração e consumo, relatórios para clientes e comunicação entre equipes. ",Imóvel Inteligente,Informação,"Fornece ferramentas de monitoramento e análise de geração solar, integrando dados de desempenho e operação.",
,IGOAL - tecnologia,"Uma empresa especializada em soluções de Internet das Coisas (IoT) para gestão de utilidades e ativos, usando tecnologia de telemetria e conectividade. ",Imóvel Inteligente,Informação,"Utiliza IoT e telemetria para gestão e controle de utilidades, permitindo decisões baseadas em dados.",
,TRADENERGY,"A Tradenergy é uma startup brasileira focada em tecnologia para o setor de energia renovável, oferecendo uma plataforma web e mobile que conecta geradores e consumidores de energia, digitalizando a compra e venda de energia de fontes limpas e ajudando na diversificação das matrizes energéticas. A empresa atua na digitalização do mercado de energia, facilitando a conexão entre produtores e consumidores de energia sustentável através de sua tecnologia. ",Imóvel Inteligente,Transações,"Conecta geradores e consumidores de energia renovável, digitalizando a comercialização no setor elétrico.",
,DISPOR Energia,"A startup DISPOR Energia é uma clean energy fintech que busca digitalizar o setor elétrico, viabilizando a produção individual de energia limpa, o consumo consciente e a geração de valor através da transformação da energia em um ativo digital. A empresa desenvolve tecnologias para massificar o acesso à geração de energia renovável e permitir ganhos financeiros através de créditos ambientais e do uso de sua plataforma. ",Fintechs do Imobiliário,Transações,"Opera como clean energy fintech, digitalizando o setor elétrico e transformando energia em ativo financeiro.",
,POLUS,"A Polus é uma startup de tecnologia, residente do Parque Tecnológico Biotic em Brasília, que se dedica a fornecer soluções de eficiência energética para refrigeração industrial, focando em indústrias e distribuidoras de alimentos. A empresa desenvolve tecnologias que utilizam inteligência artificial, automação e análise de dados em tempo real para otimizar o consumo de energia, reduzir custos e garantir a segurança de estoques em câmaras frias. ",Imóvel Inteligente,Informação,Utiliza IA e automação para eficiência energética em refrigeração industrial e redução de custos operacionais.,
,Delfos,"A Delfos é uma empresa pensada especialmente para um avançado gerenciamento de ativos de parque de energias renováveis. Fornecemos tecnologia de software com base em IA para permitir a produção de energia renovável inteligente, eficiente e previsível.",Imóvel Inteligente,Informação,Desenvolve software baseado em IA para gestão de ativos e otimização de produção em parques de energia renovável.,
,Bow-e,"A startup Bow-e é uma operadora de energia renovável, parte do Grupo Bolt Capital, que funciona através de uma plataforma digital para vender energia 100% solar e gerar créditos para os consumidores, que podem então receber e pagar menos na conta de luz, sem a necessidade de instalação de placas solares ou obras.",Economia Compartilhada,Transações,"Facilita o acesso à energia solar por meio de plataforma digital de créditos, sem necessidade de instalação física.",
,tyr,"A TYR é uma startup brasileira, uma energytech, que atua no mercado livre de energia com o objetivo de reduzir custos e aumentar a eficiência energética de condomínios, empresas e outras unidades consumidoras, agregando o consumo de vários clientes em um único para que todos possam se beneficiar de tarifas mais baixas e energia de fontes renováveis. ",Fintechs do Imobiliário,Transações,"Atua no mercado livre de energia, agregando consumidores e reduzindo custos via compra coletiva e gestão financeira.",
,clarke energia,"A Clarke Energia é uma empresa brasileira do setor de energia, originalmente uma startup e agora uma scale-up, que atua como gestora e marketplace no Mercado Livre de Energia. O seu principal objetivo é facilitar o acesso de empresas, especialmente as de pequeno e médio porte, a este mercado, oferecendo consultoria, tecnologia e soluções personalizadas para que consigam migrar, economizar e otimizar o consumo de energia, com foco em fontes renováveis. ",Fintechs do Imobiliário,Transações,"Atua como marketplace e gestora no mercado livre de energia, intermediando compra e venda de energia e serviços de migração.",
,Ativa energia,"Foi criada para acelerar resultados a partir de inovações e inteligência. Trabalham com soluções tecnológicas e modelos de negócio inovadores, rentabilizando negócios, minimizando riscos e impactos ambientais. ",Imóvel Inteligente,Gestão,Oferece soluções tecnológicas e consultoria para otimização do consumo e mitigação de riscos energéticos.,
,enercycle,"A startup Enercycle é uma empresa focada em eficiência energética e reciclagem de energia, que atua no mercado da Construção Civil com o lançamento do seu dispositivo Cycledrain®, voltado para a sustentabilidade através da recuperação de calor da água que escoa pelo ralo, transformando-a em energia. A ideia surgiu da constatação da perda de calor nos ralos de água quente, inspirando o desenvolvimento de uma solução para evitar o desperdício energético, conforme relatado em algumas fontes sobre a empresa. ",Imóvel Inteligente,Informação,"Desenvolve tecnologias de reaproveitamento energético, promovendo eficiência e sustentabilidade em edificações.",
,CUBI energia,"A CUBi Energia é uma startup (energytech) brasileira que desenvolve um sistema automatizado para gestão de energia elétrica, utilizando ciência de dados, IoT e Big Data para ajudar empresas dos setores comercial e industrial a reduzir custos e aumentar a eficiência energética através do monitoramento inteligente de dados de consumo e faturas de energia. A empresa foi fundada por engenheiros e cientistas da computação que iniciaram o projeto em um mestrado nos EUA, e hoje a plataforma da startup monitora o consumo de grandes empresas no Brasil. ",Imóvel Inteligente,Informação,"Usa IoT e análise de dados para gestão automatizada de energia, reduzindo custos e otimizando consumo.",
,Energia das Coisas,"A Energia das Coisas é uma spin-off da HomeCarbon Energy Solutions que oferece um sistema de monitoramento e controle de energia para empresas e residências, usando Internet das Coisas (IoT) para transformar o consumo de eletricidade em dados visíveis. A solução permite que os usuários acompanhem o gasto de energia em tempo real, tomem decisões para reduzir desperdícios e otimizem custos, com foco em uma experiência simples e intuitiva. ",Imóvel Inteligente,Informação,"Aplica IoT ao monitoramento de energia em residências e empresas, transformando consumo em dados acionáveis.",
,NEX Energy,"A startup NEX Energy é uma empresa brasileira focada em energia renovável que oferece aos seus clientes a possibilidade de economizar na conta de luz sem a necessidade de instalar painéis solares. Através da tecnologia e de usinas de energia limpa já existentes, a NEX Energy aluga parte da geração para consumidores (casas, empresas e condomínios), gerando créditos de energia renovável e resultando em uma redução de até 20% na fatura de eletricidade. ",Economia Compartilhada,Transações,Conecta consumidores a usinas de energia renovável para compartilhamento de geração e créditos energéticos.,
,eficienergy,"A Eficienergy é uma startup de transição energética que oferece soluções em eficiência energética e gestão de energia e gás para corporações, condomínios e centros de distribuição. A empresa fornece hardware e software, como a Plataforma EficiEnergy, para monitorar o consumo, reduzir custos e custos, e implementar estratégias para melhor a eficiência energética, incluindo a substituição de combustíveis fósseis. ",Imóvel Inteligente,Gestão,Fornece plataforma de gestão e eficiência energética com integração de hardware e software para monitoramento de utilidades.,
,medeage,"Atua na gestão técnica das utilities (água, gás e energia) de condomínios residenciais, comerciais, indústrias e empresas de saneamento, por meio da análise dos processos e procedimentos de cada cliente, leitura remota dos equipamentos de medição para diagnóstico da situação atual e proposição continuada.",Imóvel Inteligente,Informação,Realiza gestão técnica de utilities por meio de leitura remota e diagnóstico digital de consumo e desempenho.,
,MONDI ENERGY,"A Mondi Energy é uma startup brasileira de tecnologias limpas (cleantech) que desenvolve soluções para substituir combustíveis fósseis em processos industriais e agroindustriais. Suas tecnologias principais incluem o uso de energia solar heliotérmica (concentrada) para gerar calor e a produção descentralizada de biodiesel. Fundada na USP, a empresa é incubada no Supera Parque de Inovação e Tecnologia de Ribeirão Preto e busca tornar as indústrias mais eficientes, econômicas e sustentáveis. ",Imóvel Inteligente,Informação,"Desenvolve tecnologias limpas, como energia solar heliotérmica, voltadas à substituição de combustíveis fósseis.",
,Enerzee,"A startup Enerzee é uma empresa emergente no setor de energia que visa o desenvolvimento e implementação de soluções tecnológicas inovadoras para a geração, distribuição e/ou consumo de energia. Embora as informações sobre a Enerzee como uma empresa específica sejam limitadas nas buscas, o nome sugere um foco na área de energia (Ener-) com uma abordagem de inovação e eficiência (-zee pode ser uma contração de ""energy efficiency""). ",Imóvel Inteligente,Gestão,Focada em soluções tecnológicas para eficiência e inovação em geração e consumo de energia.,
,,,,,,
,T&D Sustentável,"A startup T&D Sustentável é uma empresa brasileira especializada em tecnologia e serviços para combater o desperdício de água e promover a gestão hídrica eficiente, oferecendo um modelo de negócio baseado em performance, onde o pagamento é vinculado aos resultados de economia gerados para os clientes. A startup instala dispositivos para coletar dados, analisa o consumo para identificar ineficiências e vazamentos e implementa um sistema de gestão hídrica 360º, sendo reconhecida como uma das principais empresas no setor de água e saneamento na América Latina. ",Imóvel Inteligente,Gestão,"Oferece gestão hídrica baseada em performance, integrando tecnologia e monitoramento para otimizar o consumo e reduzir desperdícios.",
,piipee,"A startup Piipee desenvolveu e vende um dispositivo que substitui a descarga de água do vaso sanitário para urina, utilizando uma solução biodegradável que bloqueia maus odores, limpa o vaso, perfuma o ambiente e economiza água. A solução tecnológica atua retardando a transformação da ureia em amônia, que é a causa do mau cheiro, prolongando o ciclo sem necessidade de descarga. ",Imóvel Inteligente,Informação,Desenvolve dispositivo que economiza água com tecnologia biodegradável e sensorização aplicada ao uso sanitário.,
,stattus4,É uma startup de tecnologia focada na construção de cidades inteligentes a partir da Sustentabilidade e IoT (Internet of Things). Desenvolvem soluções que visam a economia de água através da detecção precoce de vazamentos e inconsistências do consumo.,Imóvel Inteligente,Informação,"Utiliza IoT para detectar vazamentos e monitorar redes de abastecimento, aplicando inteligência de dados à sustentabilidade urbana.",
,BLUETECH Liquid,"Soluções Tecnológicas para Gestão Hídrica e Saneamento. Um reservatório de água em container modificado e adaptado, com casa de máquina e sistema de telemetria para solucionar problemas fixos e temporários.",Imóvel Inteligente,Gestão,Oferece soluções de gestão hídrica e saneamento com sistemas de telemetria e reservatórios inteligentes.,
,sagatech,"A Sagatech é uma empresa brasileira que desenvolve softwares e hardwares para automação e gestão de recursos hídricos, atuando nos setores de saneamento e de condomínios. A startup oferece soluções tecnológicas como o Sistema de Automação e Telemetria de Saneamento (SATS) e o Sistema de Gestão de Condomínios (SGC), que incluem medidores digitais, telemetria para monitoramento remoto e sistemas de alerta e corte de água. ",Imóvel Inteligente,Gestão,"Desenvolve softwares e hardwares para automação e telemetria de saneamento, aplicados à gestão condominial e urbana.",
,acqua logic,"A startup Acqua Logic é uma empresa catarinense, sediada em Joinville, especializada em inteligência analítica para gestão de perdas e eficiência energética em sistemas de abastecimento de água. Utilizando algoritmos e inteligência artificial, a empresa processa dados para auxiliar as companhias de saneamento a tomarem decisões mais eficientes, otimizando a gestão hídrica e reduzindo o desperdício. ",Imóvel Inteligente,Informação,Utiliza inteligência analítica e IA para gestão de perdas hídricas e eficiência energética em sistemas de abastecimento.,
,HIDROMETRIC,"Empresa especializada na consultoria e gestão para redução de custos com água. Soluções em gestão de recursos hídricos, gestão energética e utilidades industriais com monitoramento via tecnologia IoT, consultoria e Licenciamento Ambiental.",Imóvel Inteligente,Gestão,Atua na gestão de recursos hídricos e energéticos por meio de IoT e consultoria ambiental voltada à eficiência de utilidades.,
,neowater - eficiência hídrica,"A NeoWater é uma startup de eficiência hídrica que atua como uma concessionária particular de saneamento, fornecendo água com qualidade e sustentabilidade para grandes consumidores. A empresa foca em zerar o desperdício de água e garantir a segurança operacional para seus clientes, através de captações de qualidade, tratamento exclusivo, reuso da água, gestão inteligente e economia na conta de água, tudo isso sem investimento inicial para o cliente. ",Economia Compartilhada,Gestão,"Opera como concessionária privada de saneamento, fornecendo água com gestão inteligente e modelo baseado em performance.",
,PLUVI - soluções ambientais inteligentes,"A Pluvi é uma startup incubada no Pólo Tecnológico e Criativo da Universidade Federal de Pernambuco. Principal atuação no desenvolvimento de projetos de captação, tratamento e distribuição de água, sendo especialistas no seu uso como forma de mitigação de problemas ambientais dos grandes centros urbanos relativos à falta ou excesso de água.",Imóvel Inteligente,Gestão,Desenvolve soluções de captação e tratamento de água voltadas à mitigação de impactos ambientais e urbanos.,
,,,,,,
,LoopKey,"A LoopKey é uma startup brasileira especializada em tecnologia de controle de acesso, que oferece um sistema integrado de hardware (fechaduras inteligentes) e software para gerenciar entradas em imóveis, como casas, hotéis e escritórios. A empresa foi adquirida em 2022 pela Casai, uma startup de hospedagem, para expandir seu ecossistema tecnológico. O sistema LoopKey permite o controle de acesso por meio de diversas opções, como aplicativos de celular, Apple Watch, senhas, cartões e biometria. ",Imóvel Inteligente,Gestão,"Sistema integrado de controle de acesso por aplicativo e dispositivos inteligentes, aplicado à gestão de imóveis e hospitalidade.",
,bluelux,"A Bluelux é uma startup brasileira de tecnologia, sediada em Belo Horizonte, que desenvolve soluções de automação residencial e predial, permitindo o controle de iluminação e aparelhos eletrônicos por meio de aplicativos, comandos de voz e agendamentos. Sua tecnologia, que não requer reformas ou redes WiFi pré-existentes, cria a própria rede sem fio usando módulos que funcionam como repetidores de sinal, ampliando o alcance da conexão e oferecendo soluções para aumentar a segurança, a produtividade e reduzir o desperdício de energia. ",Imóvel Inteligente,Gestão,"Oferece automação residencial e predial via módulos sem fio, ampliando eficiência e conforto sem necessidade de infraestrutura prévia.",
,dyonaOS,"A dyonaOS é uma startup brasileira que desenvolve sistemas ciberfísicos e inteligência de dados para criar ambientes mais conectados, eficientes e sustentáveis, atuando na área de automação e gestão para cidades e edificações. A empresa oferece a plataforma Smartplaces, um serviço de automação inteligente que permite o controle e monitoramento de dispositivos, como iluminação e acesso, e integra diferentes equipamentos e sistemas. ",Imóvel Inteligente,Gestão,"Plataforma de automação e integração de dispositivos em edifícios e cidades inteligentes, voltada à eficiência operacional.",
,dooma,Soluções em domótica - Integram e programam dispositivos IOT’s em projetos residenciais e comerciais.,Imóvel Inteligente,Gestão,"Atua em domótica, integrando dispositivos IoT para automação residencial e comercial.",
,WiseHome,"A WiseHome é uma startup brasileira de automação residencial que transforma casas comuns em casas inteligentes através de uma instalação rápida e sem infraestrutura prévia, focada em segurança e inovação. A empresa oferece um sistema integrado de controle de iluminação, som, cortinas e segurança, destacando-se por usar tecnologia blockchain para garantir a segurança de ponta a ponta e por ser a maior rede de franquias de automação residencial do Brasil, sendo uma solução para vários tipos de imóveis, desde reformas até construções novas. ",Imóvel Inteligente,Gestão,Sistema de automação residencial com controle de múltiplos dispositivos e segurança via blockchain.,
,Smartek Life,"A Smartek Life é uma startup brasileira de engenharia e automação residencial, que desenvolve soluções tecnológicas integradas e 100% autorais, incluindo produtos, servidores e aplicativos, para tornar casas mais inteligentes, seguras, eficientes e confortáveis. A empresa foca em automação para residências de alto padrão, oferecendo desde controle de iluminação e som até segurança e entretenimento, com o objetivo de proporcionar o melhor custo-benefício e uma experiência de usuário confiável e intuitiva. ",Imóvel Inteligente,Gestão,"Soluções autorais de automação para residências, com foco em conforto, segurança e eficiência energética.",
,Chavi,"A Chavi é uma startup curitibana que desenvolve e comercializa soluções de fechaduras inteligentes e gerenciamento de acessos digitais, permitindo abrir e fechar portas via aplicativo de celular, sem o uso de chaves físicas. Fundada em 2019, a empresa atua nos mercados imobiliário, residencial e empresarial, focando em segurança e praticidade, e recebeu um investimento de R$ 1,5 milhão no programa Shark Tank Brasil. ",Imóvel Inteligente,Gestão,Desenvolve fechaduras inteligentes e sistemas de acesso digital voltados ao mercado imobiliário e corporativo.,
,BEYOND,A Beyond é uma empresa que utiliza o conceito de IoT para tornar a casa inteligente.,Imóvel Inteligente,Gestão,Implementa soluções de Internet das Coisas (IoT) voltadas à automação e conectividade residencial.,
,kokar,"A startup Kokar era uma empresa capixaba (do Espírito Santo) que desenvolveu uma solução de automação residencial sem fio, sem a necessidade de obras, para que os usuários pudessem controlar luzes e outros dispositivos em casa através de um aplicativo de smartphone. A empresa buscava tornar a automação residencial mais acessível, com um sistema plug-and-play. ",Imóvel Inteligente,Gestão,"Oferece automação residencial plug-and-play, com controle via aplicativo, tornando a tecnologia acessível.",
,hub,Atua na automação residencial e inteligente.,Imóvel Inteligente,Gestão,Fornece soluções de automação residencial e integração de sistemas inteligentes.,
,HAUSENN+,"A startup HAUSENN+ é uma empresa de automação residencial e empresarial, criada pela Pado, que oferece soluções para a instalação de sistemas de controle de equipamentos, iluminação e fechaduras digitais. A empresa foca em comodidade, conveniência, liberdade e economia, e seus produtos podem ser controlados por aplicativo de celular e assistentes de voz. ",Imóvel Inteligente,Gestão,"Oferece controle digital de iluminação, equipamentos e fechaduras, integrando conforto e segurança.",
,houseasy,"A Houseasy é uma startup de tecnologia focada em automação residencial, com o objetivo de tornar casas inteligentes mais acessíveis para o público brasileiro. Ela utiliza a Internet das Coisas (IoT) para permitir o controle de iluminação, energia e outros dispositivos através de um dispositivo móvel, buscando eliminar as barreiras de preço e instalação que dificultam a adoção da automação residencial no país. ",Imóvel Inteligente,Gestão,Plataforma de automação residencial via IoT voltada à democratização das casas inteligentes.,
,,,,,,
,VOXEPOWER,"A startup VOX EPOWER é uma empresa brasileira de eletromobilidade que oferece soluções completas para a instalação e certificação de estações de recarga para veículos elétricos, com foco em qualidade, segurança e conformidade com normas técnicas e regulamentações nacionais. A empresa realiza desde o projeto e instalação dos eletropostos, até testes e ensaios para garantir seu funcionamento adequado. ",Imóvel Inteligente,Gestão,"Oferece soluções completas de instalação e certificação de estações de recarga elétrica, com foco em infraestrutura e conformidade técnica.",
,NeoCharge,"A NeoCharge é uma startup brasileira focada em promover a mobilidade elétrica, oferecendo soluções completas para infraestrutura de carregamento de veículos elétricos. A empresa distribui equipamentos de recarga, oferece serviços técnicos, treinamento e desenvolve uma plataforma para gestão de carregadores para uso compartilhado em condomínios, empresas e pontos públicos. Seus clientes podem usar um aplicativo para localizar, reservar e iniciar recargas em eletropostos, enquanto a plataforma de gestão ajuda a monitorar e controlar o acesso às estações de recarga. ",Imóvel Inteligente,Gestão,Desenvolve e opera infraestrutura de recarga e plataforma de gestão para carregadores compartilhados em condomínios e empresas.,
,yellotmob,"A YellotMob é uma startup brasileira focada em mobilidade elétrica, oferecendo soluções completas para a instalação e gestão de infraestruturas de recarga de veículos elétricos e híbridos plug-in. A empresa desenvolve tecnologias para estações de recarga rápida e semi-rápida, além de um aplicativo que permite aos usuários encontrar postos, acompanhar a carga e monitorar seu impacto ambiental. A YellotMob também atua em parceria com empresas e condomínios para criar pontos de recarga, e oferece um modelo de franquias para expandir sua rede de eletropostos. ",Imóvel Inteligente,Gestão,"Atua na instalação e gestão de pontos de recarga e franquias de eletropostos, integrando hardware e software de mobilidade elétrica.",
,wecharge,"A startup WeCharge é uma empresa brasileira focada em mobilidade elétrica, com o objetivo de criar e gerenciar uma rede de eletropostos inteligentes para veículos elétricos e híbridos no Brasil. Através de seu aplicativo e plataforma online, a WeCharge oferece infraestrutura de recarga confiável e acessível, gerencia os pontos de carregamento, e busca incentivar a eletrificação da frota no país. ",Imóvel Inteligente,Gestão,Cria e administra rede de recarga inteligente com plataforma digital e aplicativo para gerenciamento de pontos de energia.,
,tupi,"A Tupi (anteriormente Tupinambá) é uma startup que atua no setor de mobilidade elétrica, oferecendo um aplicativo para motoristas de veículos elétricos e um software para a gestão de pontos de recarga. A empresa desenvolve tecnologia para conectar usuários a estações de recarga, permitindo encontrar, reservar e pagar pelo serviço, enquanto auxilia empresas a instalar e gerenciar sua própria rede de carregadores. ",Imóvel Inteligente,Transações,"Oferece aplicativo para localizar, reservar e pagar recargas, articulando operação e pagamento digital no ecossistema de mobilidade elétrica.",
,movE,"A movE é uma startup de eletromobilidade com sede em Florianópolis (SC) que desenvolve soluções tecnológicas para a gestão e operação da recarga de veículos elétricos. A empresa oferece uma plataforma web para a gestão de redes de eletropostos e um aplicativo para os condutores, permitindo a localização de pontos de recarga, o controle remoto do processo e o acesso a dados e histórico de recarga. A movE atua tanto no mercado brasileiro quanto na América Latina, buscando promover a mobilidade elétrica de forma mais eficiente e inteligente. ",Imóvel Inteligente,Gestão,"Plataforma web e app para gestão e operação de redes de recarga, promovendo eficiência e conectividade regional.",
,greenv,"A GreenV é uma startup brasileira focada em eletromobilidade, oferecendo soluções completas para a instalação e operação de pontos de recarga para veículos elétricos, incluindo hardware, software de gerenciamento e serviços de instalação. A empresa nasceu em 2021 da AZ Energy e se tornou parceira de montadoras como Porsche, BMW e Audi, além de empresas como a Volkswagen Caminhões e Ônibus (VWCO). ",Imóvel Inteligente,Gestão,"Oferece soluções completas em recarga elétrica, combinando hardware, software e serviços de operação para montadoras e empresas.",
,POWER2GO,"A Power2Go é uma startup brasileira de engenharia que oferece soluções completas para recarga de veículos elétricos, com tecnologia de ponta para condomínios, negócios e frotas. A empresa desenvolve e fabrica os carregadores no Brasil, garantindo gestão inteligente da carga, medição individual do consumo de energia e um serviço descomplicado para os usuários e administradoras de condomínio. ",Imóvel Inteligente,Gestão,"Desenvolve e fabrica carregadores inteligentes com gestão individual de consumo, voltados a condomínios e frotas.",
,ZuuZ - Mobilidade Elétrica,A ZuuZ instala estações de recarga para veículos elétricos em condomínios e empresas.,Imóvel Inteligente,Gestão,"Instala estações de recarga elétrica em condomínios e empresas, integrando infraestrutura e operação.",
,Zletric,"A Zletric é uma startup brasileira focada na criação de uma rede de recarga para veículos elétricos, com o objetivo de digitalizar e facilitar a experiência do usuário no carregamento. Ela opera infraestrutura de recarga e oferece um programa de benefícios para os proprietários de carros elétricos, além de integrar seus serviços com aplicativos como o Zul+, facilitando a localização de pontos de recarga. ",Imóvel Inteligente,Gestão,"Opera rede de recarga digitalizada, conectando motoristas e eletropostos com benefícios integrados a aplicativos parceiros.",
,Eletricus,"A Eletricus é uma startup brasileira focada na eletrificação de veículos, especialmente furgões de entrega, através de um processo de ""transplante de motor"" que substitui o motor a combustão por um sistema elétrico. Ela surgiu a partir de uma mudança de foco após participar de um programa de aceleração, percebendo que o modelo inicial de eletrificação de qualquer veículo não era escalável, o que levou a startup a focar em modelos específicos, como a Fiat Fiorino, por sua popularidade e durabilidade, e a desenvolver a tecnologia de forma a não depender apenas de componentes importados. ",Imóvel Inteligente,Gestão,"Atua na eletrificação de veículos leves e utilitários, desenvolvendo tecnologia própria para retrofit e redução de emissões.",
,INCHARGE,"A Incharge é uma startup brasileira, a primeira a desenvolver e fabricar carregadores para veículos elétricos no país, focando na criação de infraestrutura de carregamento e na oferta de um aplicativo que conecta usuários a esta rede. A empresa busca tornar a mobilidade elétrica mais simples e acessível, oferecendo soluções para condomínios, empresas e rodovias, incluindo a instalação dos carregadores e a ampliação da infraestrutura elétrica necessária. ",Imóvel Inteligente,Gestão,"Desenvolve e fabrica carregadores para veículos elétricos, integrando infraestrutura e aplicativo para gerenciamento e uso em condomínios, empresas e rodovias.",
,ELEVENTEC,"A ELEVENTEC é uma startup e empresa de serviços de engenharia com sede em São Paulo, focada no desenvolvimento de carregadores portáteis para veículos elétricos. Ela busca oferecer uma solução prática e inovadora para a recarga de carros elétricos, liberando os usuários da preocupação com a mobilidade e promovendo maior liberdade de locomoção. ",Imóvel Inteligente,Gestão,"Produz carregadores portáteis para veículos elétricos, oferecendo soluções de mobilidade prática e recarga descentralizada.",
,EZVolt,"A EZVolt (Easy Volt Brasil) é uma startup brasileira fundada em 2019 que opera a maior rede privada de eletropostos para veículos elétricos (EVs) no país. Ela oferece soluções completas para recarga de veículos, incluindo a instalação de infraestrutura e o desenvolvimento de um aplicativo para gerenciar o processo. A empresa atua em diversos mercados, desde condomínios e frotas corporativas até a rede pública, com foco em energia sustentável e um serviço integrado do projeto à operação. ",Imóvel Inteligente,Gestão,"Opera a maior rede privada de eletropostos do país, integrando infraestrutura, operação e aplicativo de gestão de recarga.",
,VoltBras,"A startup VoltBras é uma energytech focada em desenvolver soluções para o gerenciamento e pagamento de recargas de veículos elétricos, oferecendo serviços para facilitar a vida de motoristas e a operação de eletropostos. A empresa desenvolve tecnologias para a gestão de estações de recarga, sendo um player no mercado de mobilidade elétrica. ",Imóvel Inteligente,Transações,"Atua no gerenciamento e pagamento de recargas elétricas, digitalizando o processo de uso e cobrança em redes de carregamento.",
,,,,,,
,minum,"A Minum é uma startup de tecnologia que oferece uma solução inovadora para a gestão e otimização do consumo de energia, com o objetivo de gerar economia para empresas e residências. A empresa propõe um modelo de assinatura onde transforma a conta de luz em um plano personalizado, usando tecnologia de ponta e inteligência artificial para analisar o consumo e oferecer soluções eficientes, tudo de forma digital e sem contratos complicados. ",Imóvel Inteligente,Gestão,"Oferece modelo de assinatura para gestão e otimização do consumo de energia elétrica, com uso de IA e análise de dados.",
,flora,"Uma empresa que atua como intermediária no setor de energia, conectando consumidores a fontes de energia renovável. A Flora utiliza a geração distribuída para gerar créditos de energia renovável que são devolvidos na conta de luz dos consumidores, gerando economia de 10% a 25% na fatura, dependendo do consumo. O foco é a energia limpa e a economia para os clientes, sem a necessidade de instalação de painéis solares em suas próprias residências. ",Economia Compartilhada,Transações,"Conecta consumidores a fontes de energia renovável via créditos de geração distribuída, oferecendo descontos na fatura sem necessidade de instalação.",
,solar21,"A startup Solar21 é uma empresa brasileira de tecnologia que oferece energia solar por assinatura para residências e condomínios, permitindo que os clientes tenham acesso a energia limpa e mais barata sem o custo inicial e a preocupação com a manutenção de um sistema solar próprio. A contratação é feita de forma 100% online e digital, através de um aplicativo que permite o acompanhamento da economia e da produção de energia, além de simplificar o processo de simulação, contratação, instalação e pagamento. ",Economia Compartilhada,Transações,"Fornece energia solar por assinatura, com contratação e acompanhamento digital, voltada a residências e condomínios.",
,reverde,"A startup Reverde é uma empresa brasileira focada em democratizar o acesso à energia renovável, oferecendo aos consumidores residenciais a possibilidade de economizar na conta de luz sem precisar instalar painéis solares em casa. A Reverde administra usinas solares que produzem créditos de energia, os quais são repassados aos clientes como desconto na fatura de energia, simplificando o processo e tornando a energia limpa mais acessível e econômica. ",Economia Compartilhada,Transações,Democratiza o acesso à energia limpa ao repassar créditos gerados por usinas solares a consumidores residenciais.,
,yellot,"Energia solar fotovoltaica, EPC, Energia Solar, Energia Fotovoltaica, Geração Distrbuída, Mercado Livre de Energia, Energia por Assinatura, Tecnologia para recarga de veículos elétricos, Sistemas híbridos, On-grid e Off-grid, Gestão e comercialização de Energia, Usinas personalizadas e Residencial, Comercial, Fazendas e Parques Solares.",Imóvel Inteligente,Gestão,"Atua em múltiplas frentes de energia — solar, híbrida e recarga elétrica — oferecendo soluções integradas de geração, gestão e comercialização energética.",
,NewSun,"A NewSun é uma startup brasileira pioneira em energia solar por assinatura, que oferece a clientes residenciais, condomínios e empresas uma forma de consumir energia limpa sem a necessidade de investir em painéis solares ou fazer instalações. Através de fazendas solares próprias, a NewSun gera energia que se converte em créditos, aplicados diretamente na conta de luz dos seus assinantes, resultando em economia imediata, previsibilidade de custos e contribuição para a transição energética do país. ",Economia Compartilhada,Transações,"Oferece energia solar por assinatura, convertendo a produção das fazendas solares em créditos aplicados diretamente na conta dos assinantes.",
,Ecosol - condomínio solar,"Possuem várias usinas pelo Estado de Goiás e Distrito Federal com capacidade de produção de 800 Mwh por mês, uma produção que garante energia limpa e uma melhora na rede elétrica em cada cidade instalada. As usinas solares produzem energia, que é injetada na rede distribuidora local. Chega até o consumidor por meio de créditos de energia solar. Com esses créditos, a distribuidora desconta do seu consumo mensal.",Economia Compartilhada,Transações,"Atua com usinas solares que injetam energia na rede e repassam créditos de consumo aos clientes, via modelo de geração distribuída.",
